author,title,type,tag,sub-tag
Douglas Stuart,Shuggie Bain,fiction,,
"Dwarkesh Patel, Gavin Leech",The Scaling Era,non-fiction,technology,ai
Dylan Thomas,The Notebook Poems,fiction,,
E.H. Gombrich,The Story of Art,non-fiction,art,history
Edmund S Phelps,My Journeys in Economic Theory,non-fiction,economics,
Édouard Louis,The End of Eddy,fiction,,
Edward Ross Ellis,The Epic of New York City,non-fiction,history,new york
Edward St. Aubyn,Mother's Milk,fiction,,
Edwin Burrows; Mike Wallace,Gotham,non-fiction,history,new york
Elad Gil,High Growth Handbook,non-fiction,business,startups
Elbridge Colby,The Strategy of Denial,non-fiction,international,china
Elena Ferrante,The Lost Daughter,fiction,,
Elena Ferrante,The Story of a New Name,fiction,,
Elena Ferrante,The Lying Life of Adults,fiction,,
Elena Ferrante,The Story of the Lost Child,fiction,,
Elena Ferrante,Those Who Leave and Those Who Stay,fiction,,
Elena Ferrante,My Brilliant Friend,fiction,,
Elie Wiesel,The Night Trilogy,fiction,,
Elif Shafak,The Forty Rules of Love,fiction,,
Elizabeth Strout,Oh William!,fiction,,
Ellen Meiksins Wood,The Origin of Capitalism,non-fiction,politics,
Émile Zola,L'Assommoir,fiction,,
Eric J. Hobsbawm,"The Age of Revolution, 1789–1848",non-fiction,history,
Eric J. Hobsbawm,"The Age of Capital, 1848–1875",non-fiction,history,
Eric J. Hobsbawm,"The Age of Extremes, 1914-1991",non-fiction,history,
Eric J. Hobsbawm,"The Age of Empire, 1875–1914",non-fiction,history,
Eric Ries,The Lean Startup,non-fiction,business,startups
Eric Schliesser,Nonsense on Stilts,non-fiction,philosophy,
Eric Tupper,Introduction to Naval Architecture,non-fiction,science,maritime
Erich Fromm,To Have or to Be? The Nature of the Psyche,non-fiction,psychoanalysis,
Ernest Gellner,Nations and Nationalism,non-fiction,politics,
Ethan Mollick,Co-Intelligence,non-fiction,technology,ai
Evans & Manis,Philosophy of Religion: Thinking About Faith,non-fiction,religion,philosophy
F. Scott Fitzgerald,The Great Gatsby,fiction,,
Fei-Fei Li,The Worlds I See,non-fiction,technology,ai
Fernanda Melchor,Paradais,fiction,,
Francis Fukuyama,Liberalism and Its Discontents,non-fiction,politics,
Frank Herbert,Dune,fiction,,
Frans Masereel,Passionate Journey,fiction,,
